OBJECTID,FIPS,PASSENGER,STRACNET,CARTO,Rail_Type,Rail_Type_Description,RROwner,RR_OPERATOR,Subdivision,Division,SIGSYS,Track Rights 1,Track Rights 2,Track Rights 3,Yard Name,Max Weight (lbs),Clearance (TOFC),Clearance (COFC),Clearance (Autorack),Railroad Type,FCC_VGIN,Notes,EDITOR,State Supported Route,Rail_Active_Status,Former_Rail_Type,Shape__Length
26,51015,Yes,No,Yes,M,Main Line,BB,BB,RICHMOND & ALLEGHANY DIVISION,N/A,CTC,AMTK,CSXT,N/A,N/A,286000,2tunnel/bridge(SRP),2tunnel/bridge(SRP),2tunnel/bridge(SRP),Shortline,B1, ,AB,,,Main Line,32223.6514669632
27,51015,No,No,No,Y,Yard,BB,BB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Shortline,B3, ,AB,,,Yard,1600.46856986706
28,51015,No,No,No,Y,Yard,BB,BB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Shortline,B3, ,AB,,,Yard,726.977095151462
29,51015,Yes,No,Yes,M,Main Line,BB,BB,RICHMOND & ALLEGHANY DIVISION,N/A,CTC,AMTK,CSXT,N/A,N/A,286000,2tunnel/bridge(SRP),2tunnel/bridge(SRP),2tunnel/bridge(SRP),Shortline,B1, ,AB,,,Main Line,8713.55434218438
30,51015,No,No,No,S,Passing Siding,BB,BB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Shortline,B1, ,AB,,,Passing Siding,6143.05325675095
31,51015,No,Yes,Yes,M,Main Line,NS,NS,ROANOKE DISTRICT JUNIOR AVENUE TO ROANOKE,VIRGINIA DIVISION,CTC,N/A,N/A,N/A,N/A,315000,N/A,N/A,N/A,Norfolk Southern Railway,B1, ,AB,,,Main Line,3885.47914129532
32,51015,No,Yes,Yes,M,Main Line,NS,NS,ROANOKE DISTRICT JUNIOR AVENUE TO ROANOKE,VIRGINIA DIVISION,CTC,N/A,N/A,N/A,N/A,315000,N/A,N/A,N/A,Norfolk Southern Railway,B1, ,AB,,,Main Line,1972.95780822499
33,51015,No,Yes,Yes,M,Main Line,NS,NS,ROANOKE DISTRICT JUNIOR AVENUE TO ROANOKE,VIRGINIA DIVISION,CTC,N/A,N/A,N/A,N/A,315000,N/A,N/A,N/A,Norfolk Southern Railway,B1, ,AB,,,Main Line,21342.6679834896
34,51015,No,Yes,No,M,Main Line,NS,NS,ROANOKE DISTRICT JUNIOR AVENUE TO ROANOKE,VIRGINIA DIVISION,CTC,N/A,N/A,N/A,N/A,315000,N/A,N/A,N/A,Norfolk Southern Railway,B1, ,AB,,,Main Line,116.692554048208
35,51660,No,No,No,Y,Yard,NS,CHW,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Shortline,B3, ,TDH,,,Yard,362.745331587722
36,51820,Yes,No,Yes,M,Main Line,BB,BB,RICHMOND & ALLEGHANY DIVISION,N/A,CTC,AMTK,CSXT,N/A,N/A,286000,2tunnel/bridge(SRP),2tunnel/bridge(SRP),2tunnel/bridge(SRP),Shortline,B1, ,AB,,,Main Line,11309.7879298503
