OBJECTID,FIPS,PASSENGER,STRACNET,CARTO,Rail_Type,Rail_Type_Description,RROwner,RR_OPERATOR,Subdivision,Division,SIGSYS,Track Rights 1,Track Rights 2,Track Rights 3,Yard Name,Max Weight (lbs),Clearance (TOFC),Clearance (COFC),Clearance (Autorack),Railroad Type,FCC_VGIN,Notes,EDITOR,State Supported Route,Rail_Active_Status,Former_Rail_Type,Shape__Length
1626,51179,Yes,Yes,Yes,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,271.163791553839
1627,51179,Yes,Yes,No,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,272.191109519016
1628,51179,Yes,Yes,Yes,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,270.518166366202
1629,51179,Yes,Yes,No,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,269.227026647036
1630,51179,Yes,Yes,Yes,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,269.491357288424
1631,51179,Yes,Yes,No,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,266.203935538194
1632,51179,Yes,Yes,Yes,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,266.908579291426
1633,51179,Yes,Yes,No,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,272.752537125943
1634,51179,Yes,Yes,Yes,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,269.168092073228
1635,51179,Yes,Yes,No,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,267.263176048283
1636,51179,Yes,Yes,Yes,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,269.697242583798
1637,51179,Yes,Yes,No,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,271.664568930049
1638,51179,Yes,Yes,Yes,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,273.486995703986
1639,51179,Yes,Yes,No,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,270.972654933916
1640,51179,Yes,Yes,Yes,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,268.786651327082
1641,51179,Yes,Yes,No,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,267.701425124752
1642,51179,Yes,Yes,Yes,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,239.076939542003
1643,51179,Yes,Yes,No,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,240.702747442611
1644,51179,Yes,Yes,Yes,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,267.495243717666
1645,51179,Yes,Yes,No,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,267.089811449716
1646,51179,Yes,Yes,Yes,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,272.836969243201
1647,51179,Yes,Yes,No,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,271.068860335844
1648,51179,Yes,Yes,Yes,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,268.736712236546
1649,51179,Yes,Yes,No,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,268.849405858016
1650,51179,Yes,Yes,Yes,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,270.577504843302
1651,51179,Yes,Yes,No,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,272.047334213178
1652,51179,Yes,Yes,Yes,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,265.588951645841
1653,51179,Yes,Yes,No,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,265.499541825467
1654,51179,Yes,Yes,Yes,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,270.020435926813
1655,51179,Yes,Yes,No,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,274.094456900164
1656,51179,Yes,Yes,Yes,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,271.179044616539
1657,51179,Yes,Yes,No,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,255.90974436262
1658,51179,Yes,Yes,No,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,251.002941162294
1659,51179,Yes,Yes,Yes,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,240.319410115728
1660,51179,Yes,Yes,Yes,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,269.205768490804
1661,51179,Yes,Yes,No,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,269.168367514277
1662,51179,Yes,Yes,Yes,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,271.572082181859
1663,51179,Yes,Yes,No,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,270.876529484145
1664,51179,Yes,Yes,Yes,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,274.43086581359
1665,51179,Yes,Yes,No,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,272.761598615199
1666,51179,Yes,Yes,Yes,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,279.365071615018
1667,51179,Yes,Yes,No,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,279.87780941783
1668,51179,Yes,Yes,Yes,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,283.132196906021
1669,51179,Yes,Yes,No,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,285.750303198868
1670,51179,Yes,Yes,Yes,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,285.540735184282
1671,51179,Yes,Yes,No,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,287.094163180119
1672,51179,Yes,Yes,Yes,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,265.822384668065
1673,51179,Yes,Yes,No,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,237.370690602061
1674,51179,Yes,Yes,Yes,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,196.942670975018
1675,51179,Yes,Yes,No,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,223.214926582267
1676,51179,Yes,Yes,Yes,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,292.033058749679
1677,51179,Yes,Yes,No,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,292.035823938236
1678,51179,Yes,Yes,Yes,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,304.538651355696
1679,51179,Yes,Yes,No,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,306.131715957339
1680,51179,Yes,Yes,Yes,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,262.698610296023
1681,51179,Yes,Yes,No,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,263.432603512851
1682,51179,Yes,Yes,No,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,260.041639819826
1683,51179,Yes,Yes,Yes,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,265.626991389424
1684,51179,Yes,Yes,Yes,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,265.494278927003
1685,51179,Yes,Yes,No,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,273.123559725076
1686,51179,Yes,Yes,Yes,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,253.409667303019
1687,51179,Yes,Yes,No,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,260.792062542742
1688,51179,Yes,Yes,Yes,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,285.926181287853
1689,51179,Yes,Yes,No,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,249.271099596271
1690,51179,Yes,Yes,No,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,291.110963103163
1691,51179,Yes,Yes,Yes,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,268.675170053189
1692,51179,Yes,Yes,No,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,286.776138034333
1693,51179,Yes,Yes,Yes,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,284.698739248935
1694,51179,Yes,Yes,Yes,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,280.131907049353
1695,51179,Yes,Yes,No,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,281.169589621815
1696,51179,Yes,Yes,Yes,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,279.641499491748
1697,51179,Yes,Yes,No,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,276.971869064843
1698,51179,Yes,Yes,No,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,281.284571638953
1699,51179,Yes,Yes,Yes,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,275.600859634997
1700,51179,Yes,Yes,Yes,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,277.642415268144
1701,51179,Yes,Yes,No,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,272.23144459229
1702,51179,Yes,Yes,Yes,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,271.813773104051
1703,51179,Yes,Yes,No,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,272.148015680836
1704,51179,Yes,Yes,Yes,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,207.575566285371
1705,51179,Yes,Yes,No,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,211.967460993738
1706,51179,Yes,Yes,Yes,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,283.3538520303
1707,51179,Yes,Yes,No,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,282.391907438092
1708,51179,Yes,Yes,Yes,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,280.853112886362
1709,51179,Yes,Yes,No,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,280.069476844652
1710,51179,Yes,Yes,Yes,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,280.007515605346
1711,51179,Yes,Yes,No,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,278.669459973344
1712,51179,Yes,Yes,No,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,281.936734532367
1713,51179,Yes,Yes,Yes,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,282.261697112835
1714,51179,Yes,Yes,Yes,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,279.299593361462
1715,51179,Yes,Yes,No,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,280.456812145431
1716,51179,Yes,Yes,Yes,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,283.544861466111
1717,51179,Yes,Yes,No,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,281.813011500639
1718,51179,Yes,Yes,No,M,Main Line,CSXT,CSXT,RF and P,N/A,ATC,AMTK,VREX,N/A,N/A,286000,"20 feet, 2 inches","20 feet, 2 inches","20 feet, 2 inches",CSX Transportation,B1, ,AB,Route 47 / Route 50 / Route 51,,Main Line,280.408034851743
