STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,MEASURE,Measure,FINAL_DEMAND_AREA,Final demand area,EMISSIONS_ORIGIN_AREA,Emissions origin area,EMISSIONS_ORIGIN_ACTIVITY,Emissions origin activity,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,USA,United States,CHN,China (People’s Republic of),_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,2010,,387.212,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,USA,United States,CHN,China (People’s Republic of),_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,2011,,376.091,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,USA,United States,CHN,China (People’s Republic of),_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,2012,,384.586,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,USA,United States,CHN,China (People’s Republic of),_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,2013,,376.922,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,USA,United States,CHN,China (People’s Republic of),_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,2014,,395.562,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,USA,United States,CHN,China (People’s Republic of),_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,2015,,392.875,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,USA,United States,CHN,China (People’s Republic of),_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,2016,,360.216,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,USA,United States,CHN,China (People’s Republic of),_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,2017,,375.536,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,USA,United States,CHN,China (People’s Republic of),_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,2018,,384.447,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,USA,United States,CHN,China (People’s Republic of),_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,2019,,346.681,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_ICIO_GHG_ORGN@DF_ICIO_GHG_ORGN_2023(1.0),Greenhouse Gas Footprints (GHGFP): Origin of emissions embodied in final demand,I,A,Annual,FD_GHG_ORGN,Emissions embodied in final demand,USA,United States,CHN,China (People’s Republic of),_T,Total - all activities,T_CO2E,Tonnes of CO2-equivalent,2020,,343.471,,6,Millions
