artist,spotify_track_uri,genre
Clifford Brown,spotify:track:2oMaXY0yiWhAEWD7SutXh2,bebop
Cody Jinks,spotify:track:1ppTqTBXqnlVGPxlluGHRE,classic texas country
Cola,spotify:track:7L7ZElJt1MAuhuunqrIeNZ,crank wave
Coldplay,spotify:track:4YSmynoaeBvITzp3N8iXYU,permanent wave
Coleman Hawkins,spotify:track:2xm9ihELo6xwrRKrBbPql9,bebop
Colt Ford,spotify:track:5kSPD3rOo2hGYVwheIxpv8,contemporary country
Common,spotify:track:11aFVmFy8903RwDx4ohQiq,alternative hip hop
Common Saints,spotify:track:0M2YpzPH2fvajTJzsupNzr,No genres found
Connor Price,spotify:track:4lLXZibm5kphBZ2UyYmHWV,singer-songwriter pop
Conquer Divide,spotify:track:1IcUvKPxQSbGCL4fhf0oaK,pixie
Conway the Machine,spotify:track:4w7lBzX0EcDuy8tQLQvjC2,alternative hip hop
Cookin Soul,spotify:track:5ncc4PdO6UuPH4ViFKrK29,boom bap espanol
Coolio,spotify:track:5vpDsiVqiZLRwKAzQO708k,g funk
Cordae,spotify:track:6clDsO8HwhHEgJDDp88VdL,hip hop
Corduroy Slim,spotify:track:0GQcoAGKkvTL4MYuPct6HY,No genres found
Corners,spotify:track:1oGsWQPJ1gdzkeqAWbMwhH,indie garage rock
Cortex,spotify:track:2CsnpBAB8VQMTyPuws57ao,spytrack
CoryaYo,spotify:track:2ab3urJGKoO3xH9CvcqVyw,No genres found
Cosmo Pyke,spotify:track:4f3xhmqvfveqBvnbswLBmI,uk contemporary r&b
Cottonwood Firing Squad,spotify:track:3PkNZj1fGr6iUWMui8VjCi,No genres found
Count Basie,spotify:track:3Y0LpU5kqQ3vSZvwcGjl1M,big band
Count Bass D,spotify:track:6um8falqCT0st7YLJlgaWs,alternative hip hop
Count Five,spotify:track:5JcaA4A9ZoXthwEnxOxWvP,classic garage rock
Courtney Barnett,spotify:track:7rlH5IVzRc5eCMiURVoUrI,art pop
Covet,spotify:track:7BsPyswBtiM1PbPnUnuNzE,instrumental math rock
Craig Mack,spotify:track:4JYUDRtPZuVNi7FAnbHyux,gangster rap
Cream,spotify:track:62nYkaIBesfvQSSwTjPnYS,album rock
Creed,spotify:track:42T2QQv3xgBlpQxaSP7lnK,alternative metal
Creedence Clearwater Revival,spotify:track:11DjZQEZ69EXLo77HVj6yW,album rock
Cressida,spotify:track:5UZKDgNoS3zD6BBkfwdei0,canterbury scene
"Crosby, Stills & Nash",spotify:track:1zMfsMdwkSLvuqcCVEZGlT,album rock
Cross Canadian Ragweed,spotify:track:3Yz8CqWFtiOkm0BNSmzotf,classic oklahoma country
Cru,spotify:track:60KWmDnLE9jB9dHVkhlu3P,bronx hip hop
Crumb,spotify:track:3VwgtTh9D0CubY32jdhI5U,neo-psychedelic
Crystal Castles,spotify:track:1xzsEmaU4IXjvxxwQlA8Lz,alternative dance
CueStack,spotify:track:4c8DOZHumBlXF5JrUk8lAa,No genres found
Cults,spotify:track:2enPRFda84VE2wtI8c86Uf,experimental pop
Curlys Jewels,spotify:track:1H2e4FYzn8XeMXXKbjjRGX,kiwi rock
Curren$y,spotify:track:171PWhxgdrIOgcAiBPO3Gr,dirty south rap
Current Joys,spotify:track:4rHfpAN2CK3H6eRWd7j7E0,lo-fi indie
Currents,spotify:track:305Zplio7ipZsFs0cZPBQu,melodic metalcore
Curtis Mayfield,spotify:track:0mIpT5VijWPv4b9s0K76qA,chicago soul
Cymande,spotify:track:6tkSDxoNHMQ6eoeJGB2Q22,afrobeat
Cypress Hill,spotify:track:7aAZOl8GHF6ge391oY0Kmy,chicano rap
Céline Dion,spotify:track:28UMiBhn383n9S7GL4tsxD,canadian pop
D.S. Wilson,spotify:track:20snJJndKSSbLElgCXgdIe,smooth jazz
D12,spotify:track:4XHQyvbrBsQaaBUW1VvmsL,detroit hip hop
DANGERDOOM,spotify:track:6bmJYo1KS2X2nzQrCGzdOe,alternative hip hop
DARGZ,spotify:track:5crkOzXbUZ5SOSkSat7g4T,No genres found
DIAL UP,spotify:track:3xrOzCuHp2KyEnF8KOMydX,No genres found
DISPATCH,spotify:track:6n6EXIwLtNwe4u4CFzENYm,jam band
DJ Harrison,spotify:track:5AFjdqxOjR5pEYeFFIkTO4,abstract beats
DJ Khaled,spotify:track:1EJIcDYXwSqipW5dFe4uJz,hip hop
DJ PELOTERO,spotify:track:3EXiKlVvuQ4Q7hA9v1mXcu,No genres found
DJ Premier,spotify:track:7lue3ug1VFSCiS9mYHX7zW,east coast hip hop
DJ Quik,spotify:track:5xEm63lXBhJKZgjRDMWH3H,g funk
DOOMSTARKS,spotify:track:0sQ9MCD0ichtBCSi8Khn3h,alternative hip hop
DOPE LEMON,spotify:track:2OFUamird9l49tMtwf8w3l,No genres found
DOWN,spotify:track:65uQCG1V1KFnBTrqv0wNFi,alternative metal
DR. GABBA,spotify:track:46nw6YdpJkEyclznx4VU7o,rally house
DR. Moriarity,spotify:track:6iMfUuHZN1RybfUGuncTeL,No genres found
Dabeull,spotify:track:4FKuIlfFCIcvpg7M2HJhwx,synth funk
Daffo,spotify:track:3JWneiKPrQOEJQ8eXJWDq9,nyc indie rock
Daft Punk,spotify:track:2cGxRwrMyEAp8dEbuZaVv6,electro
Dagoba,spotify:track:0T3hW84q7j0quZ8NzyV25d,cyber metal
Damu The Fudgemunk,spotify:track:1p2IlA7UbxNYenX9uE72V9,instrumental hip hop
Dana and Alden,spotify:track:3uyAmrmQS6GDm0XllcMGMK,No genres found
Dance Gavin Dance,spotify:track:7xCcUcMcGsIYGKUVgBZUw5,pixie
Danger Incorporated,spotify:track:3GmOwe6h5iFJxjXlwjlhkU,cloud rap
Danger Mouse,spotify:track:0icFJI44Ub8pJ5Wi77OKFF,alternative hip hop
Daniel Caesar,spotify:track:5MFSkVOqkIgE8NOfPQGm4N,canadian contemporary r&b
Daniel Johnston,spotify:track:6CW6mAhda2w5O35kvnAfcN,alternative rock
Danny Brown,spotify:track:2KrkWcSP0oFWBUZzvj9KjS,alternative hip hop
Danzig,spotify:track:7txxAtOMwLLnQTpKeBL6bp,alternative metal
Darius,spotify:track:3hGc6zv9LgSxGrIlhFdfT6,filter house
Darondo,spotify:track:6Dq2LzijkY9WNPwBGDah4L,afrobeat
Darwins,spotify:track:2VjxSRhMeC4aTQVnckqspx,No genres found
Daryl Hall & John Oates,spotify:track:7j74lucZ59vqN67Ipe2ZcY,album rock
Dave,spotify:track:00ZQQArUJReFfsMnl8dIgd,uk hip hop
Dave Brubeck,spotify:track:1GZD0TZJHmdQaZsucHBmWT,american modern classical
Dave Brubeck Trio,spotify:track:2P1QzYsYzbPCg9K2LfsCpl,jazz trio
Dave Holland Quartet,spotify:track:5Vmt3ascqbh0QJCV1een0Q,ecm-style jazz
David Bowie,spotify:track:7Jh1bpe76CNTCgdgAdBw4Z,art rock
David Gilmour,spotify:track:1DkQMumDKBy6wj8QyaVGbx,album rock
David Guetta,spotify:track:4uUG5RXrOk84mYEfFvj3cK,big room
David McCallum,spotify:track:7vz1xD9DpkzcdwTwrpEwnA,No genres found
David Rawlings,spotify:track:4rG7GtTipquzXDBHUcJQw1,new england americana
Dawn Penn,spotify:track:6ibblIwEOvnsMXA1CPm4Ci,No genres found
Dayglow,spotify:track:61OJxhoY3Ix50rYVKo8zRK,austindie
Dazey and the Scouts,spotify:track:7yBjQ29XKxHlxuqycHuvmm,boston indie
De La Soul,spotify:track:2WyLyygONxNBVtXCRLMjFY,east coast hip hop
Dead Kennedys,spotify:track:6M4yg3BknyHmRnsvlkuHD5,alternative rock
Deadline,spotify:track:1U9sZiU2pI1bzM9qNr3xIQ,dc hardcore
Dean Blunt,spotify:track:784VjdNkpXhFV0RHquzsi2,collage pop
Dean Brody,spotify:track:1KyR8mYnMcVUHLgApFSLBN,canadian contemporary country
Dean Martin,spotify:track:7fQ3PYTYdu208fQ3JEm2U7,adult standards
Death,spotify:track:53T9Fc3HDEaLaB90oEDEvb,black punk
Death Grips,spotify:track:781V2Y5LPtcpgONEOadadE,escape room
Death Lens,spotify:track:0YVft9gopmocBdxBrNjvO0,action rock
Deb Grape,spotify:track:0UfF3n4rTFNvJ4vNuRLwx9,No genres found
Dee Lucas,spotify:track:2UbVCeUDdrTeEPOXNep8AW,deep smooth jazz
Deep Purple,spotify:track:5SAUIWdZ04OxYfJFDchC7S,album rock
Deerhunter,spotify:track:2SpHd4lGMrJMIQDf92V6VP,alternative rock
Deftones,spotify:track:7IoK6jZBxY7NMoQPoPXZCF,alternative metal
Del The Funky Homosapien,spotify:track:2ECYtCiyC3zLvFTybWv75p,alternative hip hop
Delegation,spotify:track:3TiCuJiisBOB9HzKAM6FDG,post-disco
Delilah,spotify:track:2ZpTwWC6cUtz5oHcGQexwp,No genres found
Delta Sleep,spotify:track:016MGQqrLrB1SBzEw1mqMl,brighton indie
Denis Leary,spotify:track:5i0BBU8OZdD7EkYeA5WrSq,comedy
Denzel Curry,spotify:track:2aQwdBWk4vSPWk1Csgtzdo,dark trap
Depeche Mode,spotify:track:0yp3TvJNlG50Q4tAHWNCRm,dance rock
Depswa,spotify:track:1aTWmHKzDKFfkTfbPaCY8y,hard alternative
Derek & The Dominos,spotify:track:2xNruEPnV3JHJ9qvHvcEF3,album rock
Descendents,spotify:track:7Meu81YN9Ols2nQdbkKbbh,hardcore punk
Desert Sessions,spotify:track:4tPTqcJWt67CGJLro27pwe,palm desert scene
Destroy Boys,spotify:track:5ot500QigZaa1tH5tQoR1C,oakland indie
Destroyer,spotify:track:197GklZ43MQF1XsxAlJ813,art pop
Dexter Gordon,spotify:track:58ylMBq2yqYdHyevarkNWa,bebop
Dexys Midnight Runners,spotify:track:3MrWxJaD2AT0W9DjWF64Vm,new romantic
Dhruv,spotify:track:22RbBpcpvW5sZwnSyXesUh,nyc pop
Dido,spotify:track:3yUcJwYu7fXAfqMj9krY6l,dance pop
Diet Lite,spotify:track:6aiZvNY6cYFON8bUmAggqa,No genres found
Digable Planets,spotify:track:26q6YTrXt9l8qshIveiTX9,afrofuturism
Dikembe,spotify:track:1rN1Dqhli7yB5MGlvejYrv,alternative emo
Dilated Peoples,spotify:track:1unbLw4cvR8za4YpHFWcN7,alternative hip hop
Dinah Washington,spotify:track:0Lr4NSIlDOKcZWwMOPcxGT,jazz blues
Dinosaur Jr.,spotify:track:1DKTXW8RFn6c1yYRQAPlGP,alternative rock
Dinosaurs On Mars!,spotify:track:1F1lPQlPQcDBjhG5v1PmAF,No genres found
Dio,spotify:track:57fqmDaokbxZ3TaB0jp39q,album rock
Dion,spotify:track:3v8d3ku3kiTZVPxEt7a2dE,doo-wop
Dire Straits,spotify:track:5EoD2H4HEX3lQd0l7CsHA1,album rock
Disclosure,spotify:track:663E41fUIDEnzN7xTnFLT0,edm
Disturbed,spotify:track:42ZVk59gT4tMlrZmd8Ijxf,alternative metal
Dizzy Gillespie,spotify:track:6LPqphk2rbt2i63bR2o247,bebop
DjRUM,spotify:track:38KFHXttkrIpnUd0tTvkZj,future garage
Djo,spotify:track:3qhlB30KknSejmIvZZLjOD,pov: indie
Doc Watson,spotify:track:3GgvAt2Cyp7GRhYy9Luus1,american folk revival
Doechii,spotify:track:1mMVC8AsuUUelwopm51Jht,alternative r&b
Doja Cat,spotify:track:3DarAbFujv6eYNliUTyqtz,dance pop
Dolphin Hyperspace,spotify:track:4HUfkOgHB7gt9FVe87B1mg,No genres found
Dominic Fike,spotify:track:7yNf9YjeO5JXUE3JEBgnYc,alternative pop rock
Domo Genesis,spotify:track:3L4WARdZlXFYTrryTGdxBE,alternative hip hop
Don Caballero,spotify:track:2IV707m9ucNi7RNUMYxEOS,instrumental math rock
Don Glori,spotify:track:5BWl4XOt9jQN3ERndOoiXS,No genres found
Don Toliver,spotify:track:2AXyDKTC0kFvSiQPgje4ql,rap
Donald Byrd,spotify:track:3s8Anp8dKObIw8Zy8uGgYC,bebop
Dorothy Ashby,spotify:track:3YT2vdLbvfcjfCiNR4DsKT,jazz funk
Dr. Dog,spotify:track:0UV5zxRMz6AO4ZwUOZNIKI,chamber pop
Dr. Dre,spotify:track:70ATm56tH7OrQ1zurYssz0,g funk
Dr. John,spotify:track:0I2ELF6uHlL4ABu9aFiou7,acoustic blues
Drake,spotify:track:0GaBIpyHvytM1UBYmqXu08,canadian hip hop
Dre'es,spotify:track:4rxD9Ar3OlsgGOnblWUKqr,bedroom soul
Dreamgirl,spotify:track:6oWXWkwHKREYlBNuBCitFP,indie garage rock
Dreamville,spotify:track:7wTA0NKIm6T7nP2kaymU2a,hip hop
Drex Carter,spotify:track:0BzKelWoHmrmFMKPGMWasw,sad lo-fi
Drive-By Truckers,spotify:track:2o2gbc86WmczOU9dAOnkSL,alternative country
Drowning Pool,spotify:track:7CpbhqKUedOIrcvc94p60Y,alternative metal
Drugdealer,spotify:track:24D35BV98oPggkVHXj6QUQ,indie garage rock
"Duck. Little Brother, Duck!",spotify:track:7kWHKiW921kuawaOXfjVcy,midwest emo
Duke Ellington,spotify:track:0E8q2Fx2XuzXCO2NSAppkR,african-american classical
Dumbo Gets Mad,spotify:track:1CE6ORhLLyvBopnVdDVf3z,indie garage rock
Dungeon Family,spotify:track:4W1I2BS76ZXXZBiH1b7Kf0,atl hip hop
Duran Duran,spotify:track:1ff8lsrJ2kuZuofMw81EQo,album rock
Durand Jones & The Indications,spotify:track:5ZK62nSchTamBy8F6HIZov,souldies
Duskus,spotify:track:4oZnV1W54b1TIn96i0KIwV,future bass
Duster,spotify:track:1MXOWbSCEjoGwivtIMnlBV,corecore
Dusty Springfield,spotify:track:4RYwE31p4KflK1h7J7m1Yt,adult standards
Dylan Sinclair,spotify:track:3P4nm6VN7ZHA8Xbd4KGkIk,canadian contemporary r&b
Dylan Sitts,spotify:track:3qXfIWn7CuxbkfMlYiTm2b,chill beats
Död Mark,spotify:track:4RdSNbXWu02gt4ssnDAAvO,cloud rap
EBK Jaaybo,spotify:track:05CkiUUE3PZz1s1Hv4gevH,No genres found
EKKSTACY,spotify:track:6oofvZ4K8vBHnCT1oKERcd,zoomergaze
EPMD,spotify:track:7rfwNAYgfT3aS0HZD731yo,east coast hip hop
Eagles,spotify:track:4yugZvBYaoREkJKtbG08Qr,album rock
Earl Sweatshirt,spotify:track:6cmt9CRoK0KGcNg9Tpje53,alternative hip hop
Earth,spotify:track:17xR3YkzbM5ojulOlciOaF,drone
"Earth, Wind & Fire",spotify:track:0RgcOUQg4qYAEt9RIdf3oB,disco
Eazy-E,spotify:track:7y9yjpRtZajYzVpXHRjwGz,g funk
Echo & the Bunnymen,spotify:track:0cOf4csnt4DeXSkFmBjULw,alternative rock
Ecstatic Vision,spotify:track:2dsLaj2v9XEEfqt35qWleL,heavy psych
Eddie Hazel,spotify:track:506QVgytjv6wUVCSVF4Ewe,p funk
Eddy Grant,spotify:track:55AMcB2JAUr7wmM3Z9Vgqc,guyanese pop
Eiafuawn,spotify:track:7K3mac0IqCjLGmbZ47jOf9,dream pop
Ekolu,spotify:track:70AU8GmKifFpFfg2sLGLvR,jawaiian
El Michels Affair,spotify:track:4bJ7tMJqfYmkKgCYzaaG4B,afrobeat
Electric Callboy,spotify:track:1YO1vzBy6y44sosMHviv0S,comic metal
Electric Light Orchestra,spotify:track:5qRJD1yaLJ5s0J3JpbgnwA,album rock
Elena Siegman,spotify:track:05XukYTsS9JIrzxNeQt05B,video game music
Elephant Gym,spotify:track:6UiIBZDbAbMAJtHhoGtAhR,instrumental math rock
Elis Regina,spotify:track:209ucYTS6vWEV5iydrHiOt,bossa nova
Ella Fitzgerald,spotify:track:33jt3kYWjQzqn3xyYQ5ZEh,adult standards
Elliott Smith,spotify:track:1JbUMtVkQuaAPdHOvncVTm,alternative rock
Eloy,spotify:track:1hpsXDinLqUbP2j7o5JXaj,german prog
Elton John,spotify:track:4IRHwIZHzlHT1FQpRa5RdE,glam rock
Emei,spotify:track:6UumSbVp1ae6IfcOWDo1oL,alt z
"Emerson, Lake & Palmer",spotify:track:1rw12PalmC8IDoygHT3fm1,album rock
Emil Lindholm,spotify:track:18bPXxpcRX8nLfDCXPLa6y,No genres found
Eminem,spotify:track:0Fv6CfegUbD5Egs0dj8CVB,detroit hip hop
Emmaline,spotify:track:6RUQf03CK4UUvHDCyPDscx,No genres found
Emory Gleason,spotify:track:23Pj0VS7apTJAOxFQygCoQ,No genres found
Empire Of The Sun,spotify:track:3HfhB8sYqLlVmpBPb7cc2x,australian dance
Enrique Iglesias,spotify:track:4nVyHATevhl5RC6Qmoko5H,dance pop
Eric B. & Rakim,spotify:track:0SwuCcwpFM6x4cu5zOvmi0,bboy
Eric Clapton,spotify:track:7DiaNCPgH5dJ1cJ925jTAA,album rock
Eric Knight,spotify:track:4LNNEPTtizak8Yknrg1wA1,No genres found
Erroll Garner,spotify:track:6oanIhkNbxXnX19RTtkpEL,bebop
Erykah Badu,spotify:track:7pv80uUHfocFqfTytu1MVi,afrofuturism
Esbe,spotify:track:6ncNLU982iaD9WFb2gTwKd,No genres found
Esbjörn Svensson Trio,spotify:track:4JWfPMjVEh4SusNs8V3gt5,contemporary jazz
Etta James,spotify:track:1kPBT8S2wJFNAyBMnGVZgL,jazz blues
Evan Call,spotify:track:3WvPn9OHnjQzwyN8Zd1xLJ,anime score
Evanescence,spotify:track:0COqiPhxzoWICwFCS4eZcp,alternative metal
Exhale,spotify:track:1770N0lIvcK3lEltr73xcK,No genres found
ExistentialBeing,spotify:track:01VgfB2JkZc421gu6Z1sQZ,No genres found
Eyedress,spotify:track:6RiiSy9GzSwiyDEJDiMuKe,noise pop
FKA twigs,spotify:track:7E66uxFz2NtHWAyiGXotha,afrofuturism
FKJ,spotify:track:6SEolIp22t0DzeBfCBo3hr,filter house
Faces,spotify:track:7fLTytvnvxy653VWxflTRf,blues rock
Failure,spotify:track:50iBJRkGjjht3RiwD0VqLA,spacegrunge
Fall Out Boy,spotify:track:3Zwu2K0Qa5sT6teCCHPShP,emo
Faraquet,spotify:track:1aT2dSJgcxRs4q0sfB188o,instrumental math rock
Farinas,spotify:track:5VxQiXaz15qCnaeGfPUeAl,No genres found
Fashawn,spotify:track:3BVt1MH9KaZjQw4W58SUTV,alternative hip hop
Father John Misty,spotify:track:0Z57YWES04xGh3AImDz6Qr,art pop
Faye Webster,spotify:track:7aX39T4YHNZ03NAmjc3DLr,atlanta indie
Feid,spotify:track:4TFNKnMWjcMWzpkSwQrrcu,colombian pop
Felt,spotify:track:4rkpdir3pNpNC562m4ojH3,psychedelic blues-rock
Feng Suave,spotify:track:25uVLrUrzXnqjDHoyX3bCY,bedroom pop
Fenton Robinson,spotify:track:0Pig681y0YWdUClrmDgIBr,blues
Fergus McCreadie,spotify:track:4mrfHE96RaRuZVof5F7WpI,scottish jazz
Fievel Is Glauque,spotify:track:7eZyA1tOwt7hRQiiIF8mUC,experimental indie
Finger Eleven,spotify:track:28IEbk5a7twNTbUEvWslUb,alternative metal
Fiona Apple,spotify:track:6PNvv1dmDbOWrAYwEcuKBX,art pop
Fire From The Gods,spotify:track:1cFx6g4ytDsZAx9gmap4pR,austin metal
Fireballs,spotify:track:1hQLOocyhpTFkaoPQeAEV6,No genres found
Fish Go Deep,spotify:track:2aYryJEl86lIZWCS6X1CUm,deep house
Five Finger Death Punch,spotify:track:0xKFHPdmWipLYPG3zlPpr4,alternative metal
Flea,spotify:track:4zT2e0Y4whBSvuKzJaChbd,electric bass
Fleet Foxes,spotify:track:0GegHVxeozw3rdjte45Bfx,chamber pop
Fleetwood Mac,spotify:track:1cHCG42MxckrXNFqyF8Uhr,album rock
Fleshwater,spotify:track:41QBT1Al5RQ9u9UIHOuXnj,grungegaze
Flight Facilities,spotify:track:0emPAMkF5BWTgHiZ4tOtJp,aussietronica
Flight of the Conchords,spotify:track:6WUeQiXtr5KQB4RT4fbr63,comic
Flipp Dinero,spotify:track:6V7g6qM8wheMivMWrzbPTM,melodic rap
Floating Points,spotify:track:75QdM3nsnAluOD19G1J4il,electronica
Floral,spotify:track:34SI8sY5HW2oIzM6yenUhN,instrumental math rock
Florist,spotify:track:2BNY5Vx095gV9NyMpJiL0U,countrygaze
Flotation Toy Warning,spotify:track:7ibd3SrEXGez6m7h8OrIqc,chamber pop
Flume,spotify:track:1ZjC1bjkwbh7yLemFOEnQ9,australian dance
Flying Lotus,spotify:track:02RxTXoojHi7ISW3EbqdR5,afrofuturism
Flyleaf,spotify:track:3FP8A246XpuafFofRhDlWG,alternative metal
Focus,spotify:track:6iZtDWu3FTuxu7AprIqA3Y,art rock
Fog Lake,spotify:track:1P9EC8oltUnAs8yYusEw9X,lo-fi indie
Fontaines D.C.,spotify:track:4N8idxy0W2GDaEosAwPOMg,crank wave
Foo Fighters,spotify:track:7x8dCjCr0x6x2lXKujYD34,alternative metal
Foolio,spotify:track:6E4xOVXeR5lmCQcqPw34gE,florida drill
"Football, Etc.",spotify:track:4x4TcBpFnw54lFK518fZnv,diy emo
Forgotten Weapons,spotify:track:5hZiDUHIcCs4dTd6AcQXYR,No genres found
Foster Parents,spotify:track:4erNGCCK7meZXYNf0TtARK,instrumental math rock
Foster The People,spotify:track:7w87IxuO7BDcJ3YUqCyMTT,indietronica
Four Tops,spotify:track:6q8NBpF6twALMb86FBpLgQ,classic soul
Foxing,spotify:track:5KzuAU7zxcP0bq0CPdRRyr,alternative emo
Frank Ocean,spotify:track:5GUYJTQap5F3RDQiCOJhrS,lgbtq+ hip hop
Frank Sinatra,spotify:track:0y7Nk5lVh2Qpxp2nlON7Ml,adult standards
Frank Zappa,spotify:track:5uDu2qOoDou7cFXsipAo8l,art rock
Frankie Valli & The Four Seasons,spotify:track:2S6XOQqWqUBIySUU00vMru,adult standards
Franz Ferdinand,spotify:track:20I8RduZC2PWMWTDCZuuAN,alternative rock
Frazey Ford,spotify:track:7kuOhBGsXjpwvLRQCDAPAJ,No genres found
Fred Hersch Trio,spotify:track:7v6mocwA0qrPLoyLYpxq1G,jazz trio
Fred again..,spotify:track:3YgtkOxZsTuaZdL8McA1FQ,edm
Freddie Dredd,spotify:track:35iQIXGIxGGNQum4KZaxkF,meme rap
Freddie Gibbs,spotify:track:1p1b9LdLJ0REuFJX9mYtFX,alternative hip hop
Freddie Hubbard,spotify:track:7Codqj9B5oMniYPUhfv26I,bebop
Free,spotify:track:6U4bZFS1R9NpBljsq1hQde,album rock
Free Nationals,spotify:track:6WVSnyKQGzs1fosa2I3FMQ,alternative r&b
Free Party,spotify:track:5FpA9VUCUquTkHPpn5Uaiq,indie hip hop
Free Throw,spotify:track:5oBarQJHCnHLzyezz0XzFx,alternative emo
French 79,spotify:track:5pxtj7cCnv2hZe6mbS2MBx,french indie pop
French Montana,spotify:track:29UgEHyxg63NDzckA3hLk5,hip hop
Frou Frou,spotify:track:3fuyYaLhZ2RoP9eWpvfP1H,downtempo
Fugazi,spotify:track:2DBlfjL5chsdeULzhTp5K8,alternative rock
Fugees,spotify:track:3vZO25GdYuqFrR1kzZADnp,east coast hip hop
Funkadelic,spotify:track:5lc9L9FeLBwlJPgEbq9uEw,classic soul
Future,spotify:track:1yCVsVH2hQ72SxNI8QTDaB,atl hip hop
Fuzz,spotify:track:6TqWZ32t4lxdbErMadzBND,neo-psychedelic
GEE LEE,spotify:track:5u1vw4nmCG8iuerg6ppBf0,rally house
GZA,spotify:track:4qfUlchVD7WM4JhA5xio6m,east coast hip hop
Galactic,spotify:track:5IfZsdLhf0g3q1LHOLWMKt,funk rock
Galt MacDermot,spotify:track:6MN6yRVriszuyAVlyF8ndB,No genres found
Gammalon,spotify:track:78m0LQhkHIHEr4bG1BIIao,No genres found
Gang Starr,spotify:track:02NuJokX5OKcF7ksvkJbnd,alternative hip hop
Garbage,spotify:track:7fFJ4nfi1mnQ10J8YAu9Di,alternative rock
Garoto,spotify:track:5TOxb4l4iRJSUKAq2rkqgn,choro
Gary Burton,spotify:track:6linlPbVWEecMEMfNcul1e,bebop
Gaspard Augé,spotify:track:2vHT9P2HMzRmlzhs9SL5wR,filter house
Gawshock,spotify:track:2Kxe9Bu0RJSwNlE8RwFZ40,lo-fi indie
Generation X,spotify:track:1lEhKudlkpBsh6S7JyvvHs,glam punk
Genesis,spotify:track:2zFdsAIk9r2Mi7Lmm1w3sM,album rock
Gentle Giant,spotify:track:0dgwyLC0Be4eTvMYT6INoq,progressive rock
Geordie Greep,spotify:track:7Dd6g7T930jxR3NcQnJjwp,crank wave
George Benson,spotify:track:62GYoGszQfROZswLee6W3O,jazz funk
George Ezra,spotify:track:2ixsaeFioXJmMgkkbd4uj1,folk-pop
George Harrison,spotify:track:1dD0D0jxiK2E0XaNQKOrxu,album rock
Gerry Rafferty,spotify:track:2Xb6wJYGi0QXwURw5WWvI5,art rock
Geto Boys,spotify:track:63BokRfXSQhEU6Qi2dSJpZ,conscious hip hop
Ghost,spotify:track:3ZXZ9RMsznqgyHnyq0K5FL,hard rock
Ghost Funk Orchestra,spotify:track:7n95VDdVQgVOg4U80TlSTI,neo-psychedelic
Ghostemane,spotify:track:0UKzG4fJ1LXf6DInew5vcV,cloud rap
Ghostface Killah,spotify:track:3kMaPy5nIPzubgRyZZYnGe,east coast hip hop
Gianni Brezzo,spotify:track:6qGx9ikckPPtDbD9L3gdmq,jazztronica
Gigi Perez,spotify:track:0UYnhUfnUj5adChuAXvLUB,bedroom pop
Gil Scott-Heron,spotify:track:7ni78Vjslqo2VxiDOahYlV,afrobeat
Ginger Root,spotify:track:3eZqBNHlNA4lUsbAB6UmvD,hypnagogic pop
Glad2Mecha,spotify:track:37NJtv7Cbkb9potgl3pArj,jazz rap
Glare,spotify:track:38CbWMaYnma3byQ4CDomBu,atlanta indie
Glass Animals,spotify:track:0rRjGruFonCGOt0S5zAJNQ,gauze pop
Glassjaw,spotify:track:1IqKlSMBlwWF0kxY2fBstA,emo
Glen Campbell,spotify:track:7kv7zBjMtVf0eIJle2VZxn,adult standards
Glenn Miller,spotify:track:3ziJFd6JeioC8Xfct0UXpJ,adult standards
GloRilla,spotify:track:5A8xI7PN4WDe9e61xEdt94,southern hip hop
Glocca Morra,spotify:track:4QGV6oyUSdTCT8XBGOCPYL,midwest emo
Glue Trip,spotify:track:0a0xmwa0ik3iBKf6SsIe14,musica campista
Gnarls Barkley,spotify:track:2N5zMZX7YeL1tico8oQxa9,atl hip hop
Go2,spotify:track:07F81INjw2MWzuy73EYVQA,eurobeat
GoGo Penguin,spotify:track:0q9pEXqEUZivY4Ll7uBxOy,british jazz
Goa,spotify:track:0Fc1Dggc6boYAbGpOzBgbT,emo trap en espanol
God Is An Astronaut,spotify:track:1rpjw2ZXeQGoWMviHSCR64,cosmic post-rock
Godsmack,spotify:track:0baguYeIsl8FtArOv1jV5o,alternative metal
Godspeed You! Black Emperor,spotify:track:0YzMEu5sGNX0JKr9mdBtzd,canadian post-rock
Gojira,spotify:track:60fUDmIWuKhngaeBIVhqIV,alternative metal
GoldLink,spotify:track:15EPc80XuFrb2LmOzGjuRg,alternative r&b
Gong,spotify:track:77EdlCFtWY7GJ6llGhxncd,canterbury scene
Good Charlotte,spotify:track:0BRHnOFm6sjxN1i9LJrUDu,alternative metal
Good Morning,spotify:track:3koAwrM1RO0TGMeQJ3qt9J,experimental pop
Goovex,spotify:track:4EZ2yyOAYGrULjAaV97mnG,No genres found
Gordo,spotify:track:6atI45zj0htbKwrsTN0bdc,No genres found
Gorillaz,spotify:track:4Hff1IjRbLGeLgFgxvHflk,alternative hip hop
Gosha Guppy,spotify:track:2XGsYiiykp5lHVkUVSqSRp,No genres found
Goth Babe,spotify:track:2d3QlXE6FXFDeodiS66yjM,indie rock
Gotts Street Park,spotify:track:59QJsTw38Jj13WnR1qz1MC,british soul
Gotye,spotify:track:4wCmqSrbyCgxEXROQE6vtV,australian pop
