artist,spotify_track_uri,genre
Andrew Neu,spotify:track:1efYoDcIHPzhYAvwO5gzqE,deep smooth jazz
Andy Henson,spotify:track:5UDpEL6027I2iz7jdZuAqW,No genres found
Andy Silvester,spotify:track:3IPpgcViKQ2E81XgMnT3yw,No genres found
Animal Collective,spotify:track:7jZBPuJmkOsfPkwFD30dAA,alternative dance
Anita O'Day,spotify:track:41Wj6aJKyggH33OYBo3ezY,torch song
Ann Annie,spotify:track:1Wig5SO6M3KxC79XSuTaCg,ambient synth
Ann Peebles,spotify:track:0ryoOkpaDeSQRoYQGGJAxn,memphis soul
Antônio Carlos Jobim,spotify:track:2IAmL20tcnaitCWZC3DU12,bossa nova
Aphex Twin,spotify:track:4LIM4qmpHABufePRrLWbiM,ambient
Apolody,spotify:track:0uKgKOrFn5D2CKXRYas43l,No genres found
Arc De Soleil,spotify:track:5pttxADQauH42FAnTiHSh8,No genres found
Arcade Fire,spotify:track:5iItYl3Q6wCnKVfpK1uNVf,alternative rock
Arctic Monkeys,spotify:track:2AT8iROs4FQueDv2c8q2KE,garage rock
Aretha Franklin,spotify:track:7L4G39PVgMfaeHRyi1ML7y,classic soul
Ari Lennox,spotify:track:5BOBHIBuzvQuIYL1E1nDzl,alternative r&b
Ariel Pink,spotify:track:3wKRZAMaoKOj0A1LeC3C5x,art pop
Ark Patrol,spotify:track:307oJgxJnR7HhPYW1V09kB,vapor twitch
Armand Van Helden,spotify:track:7BpyfQEmvi0sUmOq29plEE,big beat
Armor For Sleep,spotify:track:4CilIy3dA3P9Tq2NFqKEOX,emo
Art Blakey & The Jazz Messengers,spotify:track:3iFlfQ0CXc9URaAvai8VUe,bebop
Art Pepper,spotify:track:71KwWlZvuikRRORNH3xvCq,bebop
Artemas,spotify:track:1ACA277B6f46DYCgZW8di3,No genres found
Artifacts,spotify:track:0yf6ORR6kV4iEn6T78XKbZ,alternative hip hop
Arto Lindsay,spotify:track:4qhNFN3TZvfHPBVdFuXLl1,no wave
Ashes Remain,spotify:track:5Iuqf7d8G5SAvuKY7MKHbd,christian rock
Ask Carol,spotify:track:29ZZIIGluAfjhDrDFnpKFu,oslo indie
Astrud Gilberto,spotify:track:3QKJELWORZZ7rUZDWeMWSA,bossa nova
At the Drive-In,spotify:track:4QYg0pee8jcGTHC3Uh2Vii,dance-punk
Atlanta Rhythm Section,spotify:track:3Sm5TYFgMXyXwgAcY2xweX,album rock
Audioslave,spotify:track:4Dz0U7qR4GxIZAOGGEPuTf,alternative metal
Augustus Pablo,spotify:track:0Rvtj66lo8oTWubx6GA1nR,dub
Aunt Katrina,spotify:track:3Stg6hw4SswFGXuh2gZGlI,No genres found
Avenged Sevenfold,spotify:track:3sHH7lklbfpcraDDvYnjo7,alternative metal
Avenoir,spotify:track:4nwSwALkSaxA26bEANsi20,alternative r&b
Average White Band,spotify:track:2x1LQq8lsUzAA2wNj8yjC9,classic soul
Avril Lavigne,spotify:track:00Mb3DuaIH1kjrwOku9CGU,canadian pop
Azealia Banks,spotify:track:5BsGmbPJyupA70FlD7NtbS,escape room
B.B. King,spotify:track:4NQfrmGs9iQXVQI9IpRhjM,blues
BABYMETAL,spotify:track:14WYmNQWvR2TTWoRp8t9Ml,idol rock
BADBADNOTGOOD,spotify:track:1IqF5PUDUnaykHLs0RWbDO,canadian modern jazz
BIBI,spotify:track:53x0Yk1qOyurd2MefyF3Ny,k-pop
BL3SS,spotify:track:1bJRd2ey6ER7neSxZwYdAG,No genres found
BLACKOUT VA,spotify:track:4Wp8e1mfkDidCKC8i1jEse,No genres found
BLK ODYSSY,spotify:track:0HNjTMVpSkxFHekvwzxyVx,alternative r&b
BLooDSHOT,spotify:track:4N9xN8H8s6bDqlKhtYK7Wb,No genres found
BOABOA,spotify:track:0SNuOUnmzWghN3oPcaduCA,No genres found
BONES,spotify:track:2BbvbuxwQaHYdZa1GoO1hq,cloud rap
BOYS LIKE GIRLS,spotify:track:6GIrIt2M39wEGwjCQjGChX,neon pop punk
BTG,spotify:track:2QzeTijwaNWB4zkt0ED5jl,No genres found
BUNT.,spotify:track:3zPco1u9i9bCjkG5pngR5t,stutter house
Babe Rainbow,spotify:track:2do437HpBuryIW1y3tLCEk,australian reggae fusion
Baby Huey,spotify:track:7ycU5Bxfn2fIZjXJypfdRM,psychedelic soul
Baby Keem,spotify:track:3QFInJAm9eyaho5vBzxInN,hip hop
Baby Rose,spotify:track:2hFJkTkYuul6obJwUakb0v,alternative r&b
Baby Smoove,spotify:track:6hBocfeNzPiXXIQVZ7h9Xm,detroit hip hop
Bad Company,spotify:track:4NSZz3qzNESLWfCqglnylo,album rock
Badfinger,spotify:track:54qG9hpUjLgkgTJQ9qvB1P,album rock
Bag Raiders,spotify:track:0UeYCHOETPfai02uskjJ3x,alternative dance
Bahamadia,spotify:track:5KapB9KJnRsZrprzIAXycW,alternative r&b
Bajillionaire,spotify:track:3rFoXQkkTj17MOqOmwEa0X,australian electropop
Bakar,spotify:track:3NRql0A1Ef4RCvT473iqgD,uk alternative hip hop
Barbara Acklin,spotify:track:6NVzt2cA5Mgjd3pQjU1xwD,chicago soul
Barbara Lynn,spotify:track:5CEREcGR5WaLt40YzTQ62e,classic soul
Barrington Levy,spotify:track:4Qmbc7KFWkKvxBz5KjcA6g,reggae
Barry Can't Swim,spotify:track:3NZz7DWeVQesSOn6mO39F7,jazz house
Barry White,spotify:track:3pepZAOvUCBt3qWi9Ax6Aq,disco
Bas,spotify:track:0YAQnYt2oB8OdoaeqnHyTI,queens hip hop
Basement,spotify:track:1AMADyXgIWayh5vXLZo2qF,alternative emo
Bastro,spotify:track:1w6GMIRGCSlddGTSDwzZEP,louisville underground
Bathe,spotify:track:46FVGaksSxksaWQ0InPzDB,experimental r&b
Bazzi,spotify:track:7uzmGiiJyRfuViKKK3lVmR,pop
Beach Fossils,spotify:track:6XyjwF7CAwuEaW77noJr6I,brooklyn indie
Beach House,spotify:track:7H0ya83CMmgFcOhw0UB6ow,art pop
Beach Weather,spotify:track:7DbdUf8aHSYoliSjO6LZv6,pov: indie
Beartooth,spotify:track:4Xgono4pmRbojXlCIYh8or,melodic metalcore
Beast Coast,spotify:track:0IXJuf4reoQ5erS5kEqdwx,underground hip hop
Beastie Boys,spotify:track:21REQ1bCUWphT2QK3bLWYQ,alternative rock
Beavis And Butt-Head,spotify:track:3UM5O0ADXaYeXr9HN9LRLk,No genres found
Beck,spotify:track:2iWfZFAF8BCi0CY4NyuP8D,alternative rock
Bee Gees,spotify:track:49OMJ1prsRA7ZYgrAjz70c,disco
Ben E. King,spotify:track:3SdTKo2uVsxFblQjpScoHy,rock-and-roll
Ben Rector,spotify:track:07m8PuXxxv5J4qPEDq6ZkK,acoustic pop
Ben Webster,spotify:track:4Ee5140BdE8S0wHlWjq0DO,bebop
Benny Benassi,spotify:track:6jNM6fKx3WnyHbWBI9hs2r,dutch house
Benny Benji,spotify:track:3IAnFuQUscnMQdCwz0HS81,lo-fi indie
Benny Goodman,spotify:track:5L8ta4ECl5zeA6bGqY7G38,adult standards
Benny The Butcher,spotify:track:6JTmZ1zBuBYnZI1nHTIAQy,alternative hip hop
Benson Boone,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,singer-songwriter pop
Bernard Herrmann,spotify:track:7xPefqZB6BBosOdfKJh9nJ,classic soundtrack
Betty Wright,spotify:track:6uqTETWok9npbL4c9cuLVh,classic soul
Beyond The Barricade,spotify:track:158kgP4TeBfaELOCHaaLzN,No genres found
Big Dopes,spotify:track:3iUHSyqvJwjvrxEx65ZUOQ,denver indie
Big L,spotify:track:04Rz403IY7QUqgfrTWX6OU,east coast hip hop
Big Moochie Grape,spotify:track:6VrKKgzMBgTFzDeblw7abb,memphis hip hop
Big Pun,spotify:track:0B8drtTSp68pZdkmVrG9ZA,bronx hip hop
Big Sean,spotify:track:2zj1TuyhNvzV56dr0zKiLK,detroit hip hop
Big Thief,spotify:track:2FwDApgXk91kXvqy2oB7dz,art pop
Big Wild,spotify:track:7nYClzzNY6f3EcfeDFNqhS,vapor soul
BigXthaPlug,spotify:track:0uq2cBrdJ9iHEkFHuyWPPG,southern hip hop
Bill Evans,spotify:track:1cpANF6zMBoFoxkoIjZHjv,bebop
Bill Evans Trio,spotify:track:49H4LDNFE5BU7ZMIg8UsZy,bebop
Bill Kiley,spotify:track:2jRKOHOLv8b60sy6ypdUIk,indie game soundtrack
Bill Withers,spotify:track:6JumfGk4f9E5KLT086I75s,classic soul
Billen Ted,spotify:track:4qXjXZPGtVNhQq1z9QDRFn,No genres found
Billie Eilish,spotify:track:6dOtVTDdiauQNBQEDOtlAB,art pop
Billie Holiday,spotify:track:30QD4VRP9yEneOh0eGTrtJ,adult standards
Billy Idol,spotify:track:1gzIbdFnGJ226LTl0Cn2SX,album rock
Billy Joel,spotify:track:4ZoBC5MhSEzuknIgAkBaoT,album rock
Billy Paul,spotify:track:7acTQ0sGLozR4ss0ipwAsi,classic soul
Billy Preston,spotify:track:72PoJMDfdaw9gGECgA9kTZ,funk
Billy Stewart,spotify:track:0Iwbts8iqaJJh2kPiXbtgV,chicago soul
Billy Strings,spotify:track:348k0fvTj8lMXdkUR7mJZ4,jam band
Biz Markie,spotify:track:3yNVfRQlUPViUh8O2V9SQn,east coast hip hop
Björk,spotify:track:3vEmpJQC2p8h0U3OiBufQm,alternative rock
Black Eyed Peas,spotify:track:3JA9Jsuxr4xgHXEawAdCp4,dance pop
Black Label Society,spotify:track:4q0XCHGso5XmcB5RagwDEV,alternative metal
Black Moon,spotify:track:5CRM9TgBcwRbK3LyHUJhrQ,east coast hip hop
Black Moth Super Rainbow,spotify:track:23CP49kRZW7AkSWIJDM5gB,chillwave
Black Pumas,spotify:track:6d4FWjx72iuRWzn1HwywLK,retro soul
Black Sabbath,spotify:track:2rd9ETlulTbz6BYZcdvIE1,album rock
Black Sheep,spotify:track:4k9EkhkFZY8Bk41Qi0Ob7P,east coast hip hop
Black Star,spotify:track:4C7Ss9bTPOWJMh3rarF1mN,east coast hip hop
Black Stone Cherry,spotify:track:1Xo1j7XXz7hYLpuR53A49P,alternative metal
Black Tambourine,spotify:track:2SDnRcq496fNeeAH9DV2Tl,c86
Black Veil Brides,spotify:track:2ZhswJTKMkNNTAjrTmPhOJ,alternative metal
Bleached,spotify:track:7KjsbfeYCdCNVjf4xqgaCI,bubblegrunge
Bleed,spotify:track:5ggPrVrIXy5lGLpUplwngf,texasgaze
Blind Melon,spotify:track:3NfLSMOVWDKfYDE0WAm7uf,alternative metal
Bloc Party,spotify:track:2acEPaeXoldZ8pbDyct0CF,alternative dance
BlocBoy JB,spotify:track:6HJ34Zyw6bg8yGm28AxLXf,memphis hip hop
Blonde Redhead,spotify:track:3Z5I3tySu3V1dB2Aw3djok,dream pop
Blood Orange,spotify:track:7vcNp4cj4uF4AyX5aKY4Ps,alternative r&b
Bloodhound Gang,spotify:track:7FkyQsWH9mmxoYLCNj4f8y,alternative metal
Blue Smiley,spotify:track:01fudEnybVTbUfAbIsXz8q,countrygaze
Blue Öyster Cult,spotify:track:60TYdVs6TWIsAJ1MPRdv59,album rock
Blues Traveler,spotify:track:27IRo2rYeizhRMDaNVplNM,jam band
Blur,spotify:track:61JDaStnXY3vbaEjliB5WA,alternative rock
Blvck Svm,spotify:track:1X6xLtOzeuQz4bbBGEcXR4,indie hip hop
Blxst,spotify:track:3Pbtt8jhlmxlRO8zpf6Uzh,pop rap
Bo Burnham,spotify:track:1zsbPstcJxnY0zuKFFOKKZ,comic
Boards of Canada,spotify:track:5DZ4M3yMat79ok25rZHuA9,electronica
Bob James,spotify:track:01liKzGQmuq4BRFR19YaeI,jazz funk
Bob Marley & The Wailers,spotify:track:3PQLYVskjUeRmRIfECsL0X,reggae
Bob Seger,spotify:track:1Ryxsiacu8pUXIMCVnIQ8J,album rock
